Restaurant Name;Country Code;City
The Egg Factory;216;Boise
Tucanos;216;Boise
Texas Roadhouse;216;Boise
Brick 29;216;Boise
Winifreds;216;Cedar Rapids/Iowa City
Biaggi's Ristorante Italiano;216;Cedar Rapids/Iowa City
El Super Burrito;216;Cedar Rapids/Iowa City
Granite City Food & Brewery;216;Cedar Rapids/Iowa City
Irish Democrat;216;Cedar Rapids/Iowa City
Taste of India;216;Cedar Rapids/Iowa City
Thai Moon Restaurant;216;Cedar Rapids/Iowa City
Ting's Red Lantern;216;Cedar Rapids/Iowa City
Monica's;216;Cedar Rapids/Iowa City
Exotic India;216;Cedar Rapids/Iowa City
Shorts Burger and Shine;216;Cedar Rapids/Iowa City
The Hamburg Inn No. 2 Inc.;216;Cedar Rapids/Iowa City
Bluebird Diner;216;Cedar Rapids/Iowa City
Graze;216;Cedar Rapids/Iowa City
A & A Pagliai's Pizza;216;Cedar Rapids/Iowa City
Atlas World Grill;216;Cedar Rapids/Iowa City
BlackStone;216;Cedar Rapids/Iowa City
Devotay;216;Cedar Rapids/Iowa City
Jimmy Jack's Rib Shack;216;Cedar Rapids/Iowa City
Zoeys Pizzeria;216;Cedar Rapids/Iowa City
Tokyo Sushi;37;Chatham-Kent
Berry Patch Restaurant;216;Clatskanie
Sakura Sushi & Grill;216;Cochrane
Uptown Vietnam cuisine;216;Columbus
Cafe Le Rue @ The Landings;216;Columbus
Mark's City Grille;216;Columbus
B Merrell's;216;Columbus
Cannon Brewpub;216;Columbus
Fuji Japanese Steak House;216;Columbus
Ruth Ann's Family Restaurant;216;Columbus
Samurai Japanese Cuisine & Sushi Bar;216;Columbus
Wasabi Sushi and Thai;216;Columbus
Buckhead Bar and Grill;216;Columbus
Burt's Butcher Shoppe and Eatery;216;Columbus
Chef Lee's Peking Restaurant;216;Columbus
Country's Barbecue;216;Columbus
Deorio's;216;Columbus
Mellow Mushroom;216;Columbus
Meritage;216;Columbus
Mongo The Mongolian Fire Pit;216;Columbus
The Black Cow;216;Columbus
Wood Stone;216;Columbus
Hunter's Pub;216;Columbus
Consort Restaurant;37;Consort
Thatcher's Barbeque and Grill;216;Dalton
Christian and Jake's Bistro;216;Dalton
Dub's High on the Hog;216;Dalton
Sierra's Mexican Restaurant;216;Dalton
Oakwood Cafe;216;Dalton
Chili's Grill & Bar;216;Dalton
Fuji Japanese Steakhouse;216;Dalton
Las Palmas;216;Dalton
Tony's Italian Restaurant & Pizza;216;Dalton
Filling Station;216;Dalton
Five Guys Burgers and Fries;216;Dalton
Los Pablos;216;Dalton
Kobe Hibachi & Sushi;216;Dalton
Soho Hibachi;216;Dalton
Thai Garden;216;Dalton
Southern Bliss Bakery;216;Dalton
Bailey's Bar-B-Que;216;Dalton
Farm To Fork;216;Dalton
Home Plate Grill;216;Dalton
Pie Slingers Pizzeria;216;Dalton
Olive Tree Cafe;216;Davenport
Red Ginger Sushi, Grill & Bar;216;Davenport
Crust Stone Oven Pizza;216;Davenport
Jimmy's Pancake House;216;Davenport
Trattoria Tiramisu;216;Davenport
Prairie Grille at SteepleGate Inn;216;Davenport
Tantra Asian Bistro;216;Davenport
Chick-fil-A;216;Davenport
Duck City Bistro;216;Davenport
Frick's Tap;216;Davenport
Los Agaves;216;Davenport
Azteca;216;Davenport
China Cafe;216;Davenport
Exotic Thai Restaurant;216;Davenport
Front Street Brewery;216;Davenport
Granite City Food & Brewery;216;Davenport
Los Agaves;216;Davenport
Machine Shed Restaurant;216;Davenport
Osaka;216;Davenport
Texas Roadhouse;216;Davenport
Hickory Park;216;Des Moines
The Cafe;216;Des Moines
Flying Mango;216;Des Moines
Cool Basil;216;Des Moines
HuHot Mongolian Grill;216;Des Moines
Malo;216;Des Moines
Centro;216;Des Moines
Fong's Pizza;216;Des Moines
A Dong Restaurant;216;Des Moines
Court Avenue Brewing Company;216;Des Moines
Django;216;Des Moines
Miyabi 9;216;Des Moines
Zombie Burger + Drink Lab;216;Des Moines
Tursi's Latin King;216;Des Moines
Tsing Tsao South;216;Des Moines
Bandit Burrito;216;Des Moines
Jethro's BBQ;216;Des Moines
The Machine Shed Restaurant;216;Des Moines
Mi Patria;216;Des Moines
Waterfront Seafood Market;216;Des Moines
The Giggling Goat;14;Dicky Beach
Burnt Toast Cafe;216;Dubuque
Catfish Charlie's;216;Dubuque
Salsa's Mexican Restaurant;216;Dubuque
Tony Roma's;216;Dubuque
Vinny Vanucchi's;216;Dubuque
Champps Americana;216;Dubuque
Fiesta Cancun;216;Dubuque
Happy Joe's Pizza & Ice Cream;216;Dubuque
Houlihan's;216;Dubuque
Ichiban Hibachi Steakhouse & Sushi Bar;216;Dubuque
Kalmes Breaktime Bar & Grill;216;Dubuque
L. May Eatery;216;Dubuque
Los Aztecas;216;Dubuque
Manna Java World Cafe;216;Dubuque
Mario's Italian Restaurant;216;Dubuque
Pepper Sprout Incorporated;216;Dubuque
Shot Tower Inn;216;Dubuque
Sunshine Family Restaurant;216;Dubuque
Watershed Cafe;216;Dubuque
Woodfire Grille;216;Dubuque
The Belle General;14;East Ballina
Jehova es Mi Pastor Tacos y Burritos;216;Fernley
Flaxton Gardens;14;Flaxton
Bespoke Harvest;14;Forrest
Houndstooth Grill & Tavern;216;Gainesville
Hawg Wild BBQ & Catfish House;216;Gainesville
Bourbon Street Grille;216;Gainesville
Corkscrew Cafe;216;Gainesville
Smokin Gold BBQ;216;Gainesville
Hoka-Hoka Japanese Steak & Sushi;216;Gainesville
Shenanigan's Irish Pub;216;Gainesville
Fish Tales Lakeside Grille;216;Gainesville
Antebellum;216;Gainesville
Moonie's Texas Barbecue;216;Gainesville
Atlanta Highway Seafood Market;216;Gainesville
Eat at Thai;216;Gainesville
Smoke House BBQ and Catering;216;Gainesville
2 Dog;216;Gainesville
Longstreet Cafe;216;Gainesville
Re-Cess;216;Gainesville
Bodensee;216;Gainesville
Hofer's Bakery & Cafe;216;Gainesville
Troll Tavern;216;Gainesville
The Nacoochee Village Tavern & Pizzeria;216;Gainesville
Blue Bean Love Cafe;14;Hepburn Springs
La Trattoria of Lavandula;14;Hepburn Springs
5 Little Pigs;14;Huskisson
Beach Box Cafe;14;Inverloch
Funkey Monkey;14;Lakes Entrance
Burger Queen Drive In;216;Lakeview
Blue Orchid Thai Restaurant;216;Lincoln
Stillwater on Belmore;14;Lorn
Mr.;14;Macedon
Emilio's Cuban Cafe;216;Macon
Ingleside Village Pizza;216;Macon
Jim Shaw's Seafood Grill & Bar;216;Macon
Mandarin Chinese Restaurant;216;Macon
Rookery;216;Macon
Dovetail;216;Macon
Bonefish Grill;216;Macon
Downtown Grill;216;Macon
Greek Corner Deli;216;Macon
Natalia's;216;Macon
Papouli's Mediterranean Cafe & Market;216;Macon
Benson's Steak and Sushi;216;Macon
My Fathers Place;216;Macon
Sushi Thai Restaurant;216;Macon
The Mellow Mushroom;216;Macon
El Jalisciense Mexican Restaurant;216;Macon
Greek Village;216;Macon
Martin's BBQ;216;Macon
Thai Pepper;216;Macon
Zen Japanese Steakhouse and Sushi Bar;216;Macon
Star Buffet;14;Mayfield
Triangle Restaurant;216;Mc Millan
Three Anchors;14;Middleton Beach
HI Lite Bar & Lounge;216;Miller
Vince's Restaurant & Pizzeria;216;Monroe
Poets Cafe;14;Montville
The Artesian Restaurant;216;Ojo Caliente
Cevн_che Tapas Bar & Restaurant;216;Orlando
'Ohana;216;Orlando
Earl of Sandwich;216;Orlando
Raglan Road Irish Pub and Restaurant;216;Orlando
Cafн© Tu Tu Tango;216;Orlando
Texas de Brazil;216;Orlando
Bahama Breeze Island Grille;216;Orlando
Maggiano's Little Italy;216;Orlando
Hawkers Asian Street Fare;216;Orlando
Tako Cheena by Pom Pom;216;Orlando
Seasons 52 Fresh Grill;216;Orlando
Hollerbach's Willow Tree Cafн©;216;Orlando
Pom Pom's Teahouse and Sandwicheria;216;Orlando
Yellow Dog Eats;216;Orlando
Tibby's New Orleans Kitchen;216;Orlando
The Coop;216;Orlando
Bosphorous Turkish Cuisine;216;Orlando
Ethos Vegan Kitchen;216;Orlando
Hillstone;216;Orlando
The Ravenous Pig;216;Orlando
Vivo Bar and Grill;14;Palm Cove
Pier 70;14;Paynesville
DiVine;14;Penola
Cactus Flower Cafe Navarre;216;Pensacola
McGuire's Irish Pub & Brewery;216;Pensacola
New Yorker Deli & Pizzeria;216;Pensacola
Tu-Do Vietnamese Restaurant;216;Pensacola
Carrabba's Italian Grill;216;Pensacola
Jaco's Bayfront Bar and Grille;216;Pensacola
The Tin Cow;216;Pensacola
Cactus Flower Cafe;216;Pensacola
Dharma Blue;216;Pensacola
Global Grill;216;Pensacola
Ichiban;216;Pensacola
The Fish House;216;Pensacola
Tuscan Oven;216;Pensacola
Flounders Chowder House;216;Pensacola
Hemingway's Island Grill;216;Pensacola
Native Cafe;216;Pensacola
Peg Leg Pete's;216;Pensacola
The Grand Marlin;216;Pensacola
Original Georgios Authentic Greek Food;216;Pensacola
Fisherman's Corner;216;Pensacola
Mad Cowes Cafe;14;Phillip Island
Rupes Burgers;216;Pocatello
Texas Roadhouse;216;Pocatello
Riverwalk Cafe;216;Pocatello
Royal Hotel;216;Pocatello
Buddy's Italian Restaurant;216;Pocatello
Butterburrs;216;Pocatello
Chang Garden;216;Pocatello
Fifth Street Bagelry;216;Pocatello
Goody's Deli;216;Pocatello
Grecian Key Restaurant;216;Pocatello
Outer Limits Fun Zone;216;Pocatello
Portneuf Valley Brewing;216;Pocatello
Sandpiper Restaurant & Lounge;216;Pocatello
Senor Iguanas;216;Pocatello
Sushi Family;216;Pocatello
Taste of India Nepal;216;Pocatello
Thai Paradise;216;Pocatello
The Bridge;216;Pocatello
Nosh Mahal;216;Pocatello
El Herradero;216;Pocatello
Barrett Junction Cafe;216;Potrero
Blue Point Grill;216;Princeton
Giovanni's Shrimp Truck;216;Rest of Hawaii
Kona Brewing Company;216;Rest of Hawaii
Leonard's Bakery;216;Rest of Hawaii
Coconuts Fish Cafe;216;Rest of Hawaii
Kihei Caffe;216;Rest of Hawaii
Monkeypod Kitchen by Merriman;216;Rest of Hawaii
Sansei Seafood Restaurant & Sushi Bar;216;Rest of Hawaii
Star Noodle;216;Rest of Hawaii
Aloha Mixed Plate;216;Rest of Hawaii
Gazebo;216;Rest of Hawaii
Hula Grill;216;Rest of Hawaii
Kimo's;216;Rest of Hawaii
Mama's Fish House;216;Rest of Hawaii
Marukame Udon;216;Rest of Hawaii
Yard House;216;Rest of Hawaii
Lulu's Waikiki;216;Rest of Hawaii
Duke's Waikiki;216;Rest of Hawaii
Eggs 'n Things;216;Rest of Hawaii
Roy's;216;Rest of Hawaii
Wailana Coffee House;216;Rest of Hawaii
The Lady & Sons;216;Savannah
Green Truck Pub;216;Savannah
Leopold's Ice Cream;216;Savannah
Mrs. Wilkes' Dining Room;216;Savannah
Zunzi's;216;Savannah
Moon River Brewing Company;216;Savannah
Pirates' House Restaurant;216;Savannah
B. Matthew's Eatery;216;Savannah
Crystal Beer Parlor;216;Savannah
Goose Feathers Cafe and Bakery;216;Savannah
Henry's;216;Savannah
Huey's On The River;216;Savannah
J. Christopher's;216;Savannah
Lulu's Chocolate Bar;216;Savannah
Rocks on the River;216;Savannah
SOHO South Cafe;216;Savannah
The Olde Pink House;216;Savannah
Vic's On The River;216;Savannah
The Crab Shack;216;Savannah
Tybee Island Social Club;216;Savannah
Sky On 57;184;Singapore
Cut By Wolfgang Puck;184;Singapore
Restaurant Andre;184;Singapore
Potato Head Folk;184;Singapore
Jaan;184;Singapore
Rhubarb Le Restaurant;184;Singapore
Al'frank Cookies;184;Singapore
Fratini La Trattoria;184;Singapore
Boufe Boutique Cafe;184;Singapore
The Refinery Singapore;184;Singapore
Chye Seng Huat Hardware;184;Singapore
Makansutra Gluttons Bay;184;Singapore
Colony;184;Singapore
Summer Pavilion;184;Singapore
The Lokal;184;Singapore
I Am;184;Singapore
Super Loco;184;Singapore
Artistry;184;Singapore
Bitters & Love;184;Singapore
Artichoke Cafe;184;Singapore
Archie's Waeside;216;Sioux City
Bob Roe's Pizza;216;Sioux City
Da Kao Restaurant;216;Sioux City
Famous Dave's;216;Sioux City
Fuji Bay Japanese Restaurant;216;Sioux City
HuHot Mongolian Grill;216;Sioux City
Hunan Palace;216;Sioux City
Jerry's Pizza;216;Sioux City
Jim's Burgers;216;Sioux City
Johnnie Mars;216;Sioux City
Miles Inn;216;Sioux City
Milwaukee Wiener House;216;Sioux City
Minerva's Food & Cocktails;216;Sioux City
Monterrey Mexican Restaurant;216;Sioux City
Rebos;216;Sioux City
Tokyo Japanese Steakhouse & Sushi Bar;216;Sioux City
Diamond Thai Cuisine;216;Sioux City
El Fredo Pizza;216;Sioux City
Trattoria Fresco;216;Sioux City
Kahill's Steak-Fish Chophouse;216;Sioux City
Rumba Island Bar & Grill;216;Tampa Bay
Red Mesa Cantina;216;Tampa Bay
BellaBrava;216;Tampa Bay
Ceviche Tapas Bar & Restaurant;216;Tampa Bay
The Moon Under Water;216;Tampa Bay
Bern's Steak House;216;Tampa Bay
Boca Kitchen Bar Market;216;Tampa Bay
Edison: Food+Drink Lab;216;Tampa Bay
Ceviche Tapas Bar & Restaurant;216;Tampa Bay
Daily Eats;216;Tampa Bay
Salt Rock Grill;216;Tampa Bay
Mazzaro's Italian Market;216;Tampa Bay
Conch Republic Grill;216;Tampa Bay
Mr. Dunderbak's Biergarten and Marketplatz;216;Tampa Bay
Red Mesa Restaurant;216;Tampa Bay
Datz;216;Tampa Bay
Ella's Americana Folk Art Cafe;216;Tampa Bay
Taco Bus;216;Tampa Bay
The Refinery;216;Tampa Bay
Columbia Restaurant;216;Tampa Bay
1918 Bistro & Grill;14;Tanunda
Pig and Whistle;14;Trentham East
Buffalo Wild Wings;216;Valdosta
El Toreo Mexican Restaurant;216;Valdosta
306 North Restaurant;216;Valdosta
Austins Cattle Co;216;Valdosta
Beijing Cafe;216;Valdosta
Bleu Cafe;216;Valdosta
Bleu Pub;216;Valdosta
Bubba Jax Crab Shack;216;Valdosta
Cheddar's Scratch Kitchen;216;Valdosta
El Cazador;216;Valdosta
Friends Grille and Bar;216;Valdosta
Giulios Greek & Italian Restaurant;216;Valdosta
La Jalisco Supermercato;216;Valdosta
Masato Japanese;216;Valdosta
Mom & Dad's Italian Restaurant;216;Valdosta
Mori's Japanese Steakhouse & Sushi Bar;216;Valdosta
Passage 2 India;216;Valdosta
Rodeo Mexican Restaurant;216;Valdosta
Steel Magnolias;216;Valdosta
Smok'n Pig B-B-Q;216;Valdosta
Blue House Cafe;216;Vernonia
Anchorage Cafe Restaurant Wine Bar;14;Victor Harbor
Lake House Restaurant;37;Vineland Station
Masala Grill & Coffee House;216;Waterloo
Brown Bottle The Cedar Falls;216;Waterloo
Four Queens Dairy Cream;216;Waterloo
Hong Kong Chinese Restaurant;216;Waterloo
HuHot Mongolian Grill;216;Waterloo
J's Homestyle Cooking;216;Waterloo
Montage;216;Waterloo
Mulligan's Brick Oven Grill;216;Waterloo
Sakura;216;Waterloo
Scratch;216;Waterloo
SOHO Sushi Bar & Deli;216;Waterloo
Texas Roadhouse;216;Waterloo
Tony's La Pizzeria;216;Waterloo
Chapala;216;Waterloo
Galleria de Paco;216;Waterloo
Golden China;216;Waterloo
Rudy's Tacos;216;Waterloo
The Screaming Eagle;216;Waterloo
The Thai Bowl;216;Waterloo
Tokyo Japanese Steak House;216;Waterloo
Theo Yianni's Authentic Greek Restaurant;216;Weirton
Fishpatrick's Crabby Cafe;216;Winchester Bay
Arigato Sushi;37;Yorkton
Denny's;214;Abu Dhabi
Famous Dave's Barbecue;214;Abu Dhabi
Pizza Di Rocco;214;Abu Dhabi
Sofra Istanbul;214;Abu Dhabi
Salt;214;Abu Dhabi
Genghis Grill;214;Abu Dhabi
Olive Garden;214;Abu Dhabi
Cho Gao - Crowne Plaza Abu Dhabi;214;Abu Dhabi
Gazebo;214;Abu Dhabi
Sangeetha Vegetarian Restaurant;214;Abu Dhabi
Hot Palayok;214;Abu Dhabi
Applebee's;214;Abu Dhabi
Tikka Tonight;214;Abu Dhabi
Bait El Khetyar;214;Abu Dhabi
Indian By Nature;214;Abu Dhabi
Via Delhi;214;Abu Dhabi
Punjab Grill;214;Abu Dhabi
Tamba;214;Abu Dhabi
P.F. Chang's;214;Abu Dhabi
The Cheesecake Factory;214;Abu Dhabi
The Farm;214;Dubai
Maharaja Bhog;214;Dubai
Rasoi Ghar;214;Dubai
Barbeque Nation;214;Dubai
Farzi Cafe;214;Dubai
AB's Absolute Barbecues;214;Dubai
Carnival By Tresind;214;Dubai
AB's Absolute Barbecues;214;Dubai
Hard Rock Cafe;214;Dubai
The Coffee Club;214;Dubai
SALT;214;Dubai
Din Tai Fung;214;Dubai
SpiceKlub;214;Dubai
Tresind - Nassima Royal Hotel;214;Dubai
Grand Barbeque Buffet Restaurant;214;Dubai
Red Lobster;214;Dubai
The Cheesecake Factory;214;Dubai
Parker's;214;Dubai
Applebee's;214;Dubai
Grub Shack;214;Dubai
Kamat;214;Sharjah
Vadakkan Pepper;214;Sharjah
Gazebo;214;Sharjah
Katis Restaurant;214;Sharjah
Zaroob;214;Sharjah
Derby;214;Sharjah
Nayaab Haandi;214;Sharjah
Najmat Lahore Restaurant;214;Sharjah
Saffron;214;Sharjah
Pizza Hut;214;Sharjah
Al Mukhtar Bakery;214;Sharjah
Aroos Damascus;214;Sharjah
Nando's;214;Sharjah
Peking Chinese Restaurant;214;Sharjah
TGI Friday's;214;Sharjah
Rajasthan Al Malaki;214;Sharjah
Applebee's;214;Sharjah
Paper Fig;214;Sharjah
Sis Burger;214;Sharjah
Crafted Blends;214;Sharjah
Jahanpanah;1;Agra
Rangrezz Restaurant;1;Agra
Time2Eat - Mama Chicken;1;Agra
Chokho Jeeman Marwari Jain Bhojanalya;1;Agra
Pinch Of Spice;1;Agra
MoMo Cafe;1;Agra
Peshawri - ITC Mughal;1;Agra
Taj Bano - ITC Mughal;1;Agra
G Thal;1;Agra
Dawat-e-Nawab - Radisson Blu;1;Agra
The Latitude - Radisson Blu;1;Agra
Dasaprakash Restaurant;1;Agra
The Charcoal Chimney;1;Agra
Sheroes Hangout;1;Agra
Bon Barbecue;1;Agra
Chapter 1 Cafe;1;Agra
Pind Balluchi;1;Agra
Pizza Hut;1;Agra
Tea'se Me - Rooftop Tea Boutique;1;Agra
Thaaliwala;1;Agra
650 - The Global Kitchen;1;Ahmedabad
Patang - The Revolving Restaurant;1;Ahmedabad
Huber & Holly;1;Ahmedabad
@Mango;1;Ahmedabad
Fozzie's Pizzaiolo;1;Ahmedabad
La Pino'z Pizza;1;Ahmedabad
Mocha;1;Ahmedabad
Blue -  Rooftop Cafe Restaurant Bistro;1;Ahmedabad
MoMo Cafн© - Courtyard By Marriott;1;Ahmedabad
Cryo Lab;1;Ahmedabad
Swati Snacks;1;Ahmedabad
Brick Kitchen;1;Ahmedabad
Kabir Restaurant;1;Ahmedabad
Puffizza;1;Ahmedabad
Cafe Alfresco;1;Ahmedabad
The Cafe Baraco;1;Ahmedabad
Nini's Kitchen;1;Ahmedabad
Yanki Sizzlers;1;Ahmedabad
The Garden Cafe - The Fern;1;Ahmedabad
Mazzo;1;Ahmedabad
Turquoise Villa;1;Ahmedabad
Aryan Family's Delight;1;Allahabad
Bean Here;1;Allahabad
Bikanerwala;1;Allahabad
Dewsis;1;Allahabad
Friends Forever;1;Allahabad
Hotel Ravisha Continental;1;Allahabad
KFC;1;Allahabad
McDonald's;1;Allahabad
Pind Balluchi;1;Allahabad
Pizza Hut;1;Allahabad
Subway;1;Allahabad
Tandoor Restaurant;1;Allahabad
The BrewMaster;1;Allahabad
The Tamarind Tree;1;Allahabad
Cafe El Chico;1;Allahabad
Eat On;1;Allahabad
Hot Stuff;1;Allahabad
Paradise;1;Allahabad
Sagar Ratna;1;Allahabad
Moti Mahal Delux;1;Allahabad
Makhan Fish and Chicken Corner;1;Amritsar
Charming Chicken;1;Amritsar
Ahuja Milk Bhandar;1;Amritsar
Crystal Restaurant;1;Amritsar
Brijwasi Chat Bhandar;1;Amritsar
Bubby Fish & Chicken Corner;1;Amritsar
Bon Gateau;1;Amritsar
The Yellow Chilli;1;Amritsar
La Roma Pizzeria;1;Amritsar
Sakhis Watz Kukin;1;Amritsar
The Kulcha Land;1;Amritsar
Shudh Restaurant;1;Amritsar
Bade Bhai Ka Brothers' Dhaba;1;Amritsar
Bharawan Da Dhaba;1;Amritsar
Brothers Dhaba;1;Amritsar
Brothers' Amritsari Dhaba;1;Amritsar
Gurdas Ram Jalebi Wala;1;Amritsar
Kesar Da Dhabha;1;Amritsar
Beera Chicken Corner;1;Amritsar
Surjit Food Plaza;1;Amritsar
Kanha Sweets;1;Amritsar
Kream N Krunch;1;Aurangabad
Balbeer's Kitchen & Bar;1;Aurangabad
Angeethi Restaurant;1;Aurangabad
Domino's Pizza;1;Aurangabad
Hotel Laadli;1;Aurangabad
Indiana Veg Restaurant;1;Aurangabad
Madhuban Restaurant - Welcome Hotel Rama International;1;Aurangabad
Mauj Restaurant;1;Aurangabad
Naivedya;1;Aurangabad
d' Curry House;1;Aurangabad
Mokoholic Juice Bar;1;Aurangabad
Ashoka's Veg Restaurant;1;Aurangabad
Kareem's Fine Dining;1;Aurangabad
That Baat;1;Aurangabad
Bhoj Restaurant;1;Aurangabad
Downside Up;1;Aurangabad
Kareem's Kabab & Biryani;1;Aurangabad
Great Sagar Restaurant;1;Aurangabad
Kailash Restaurant;1;Aurangabad
Yalla Yalla;1;Aurangabad
Sultans of Spice;1;Bangalore
The Fatty Bao - Asian Gastro Bar;1;Bangalore
Toit;1;Bangalore
Three Dots & A Dash;1;Bangalore
